device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P3,2025-09-01,3,120,33.530361666666664,0.02667695639012884,33.4593,33.59445,120,15.45175,0.038971277939036805,15.36,15.56,120,485.225,1.88965560865671,481,489
P3,2025-09-01,4,120,33.50199391666667,0.022822124246421157,33.44777,33.57375,120,15.508583333333332,0.04839084282659062,15.39,15.63,120,486.125,1.8359733983169853,482,492
P3,2025-09-01,5,120,33.446289,0.03043463469318788,33.35461,33.50676,120,15.419583333333332,0.04493498259779843,15.33,15.57,120,487.325,1.7640790203151278,483,492
P3,2025-09-01,6,120,32.05757966666667,1.560688868732789,29.00305,33.49914,120,13.7615,1.8070932367718475,10.51,15.44,120,459.69166666666666,28.860369685354943,417,492
P3,2025-09-01,7,120,29.558618333333335,0.5000332030577784,28.61769,30.36574,120,11.36725,0.4113698421844085,10.61,12.21,120,455.0,14.29814585147023,436,476
P3,2025-09-01,8,120,30.316531416666667,0.2064085013366115,29.7591,30.57824,120,10.616333333333333,0.13412607472661048,10.41,10.84,120,504.75,22.17017831959608,475,560
P3,2025-09-01,9,120,30.519788166666668,0.25580210060169584,29.87746,30.88137,120,10.619833333333332,0.11553298727402239,10.41,10.85,120,632.0333333333333,41.99678525778824,559,707
P3,2025-09-01,10,79,31.199470126582277,0.28553850239500794,30.64426,31.72219,79,10.508227848101265,0.15165547572410568,10.24,10.8,79,771.0506329113924,30.501743848498524,707,807
P3,2025-09-01,11,120,31.311800333333334,0.07607066488043072,31.14094,31.49152,120,10.586583333333332,0.09145413355019621,10.48,10.89,120,815.05,6.010984343109607,799,826
P3,2025-09-01,12,120,31.621230583333332,0.15351249890971652,31.27102,31.83293,120,10.601416666666667,0.24293823205464515,10.18,10.94,120,839.175,15.713112064651634,807,871
P3,2025-09-01,13,120,31.423443916666667,0.20278583083404583,31.0302,31.74973,120,10.290333333333333,0.22940893483853908,9.92,10.68,120,826.9,9.658365990862281,808,842
P3,2025-09-01,14,120,30.706588833333335,0.1693859504218351,30.39875,31.06223,120,9.821083333333332,0.05385626424920025,9.72,9.97,120,796.2833333333333,11.409993653901473,772,820
P3,2025-09-01,15,120,30.231085416666666,0.10177971815010965,29.97395,30.4048,120,10.094583333333333,0.20575295553523743,9.74,10.33,120,760.175,7.686791574244807,744,779
P3,2025-09-01,16,120,29.901790166666668,0.06851373492900098,29.76574,30.06711,120,10.335749999999999,0.1500065124636667,10.07,10.54,120,764.45,10.958171042881238,742,787
P3,2025-09-01,17,120,29.682475583333332,0.08553421486318362,29.54211,29.89172,120,10.460916666666666,0.04697569250447036,10.36,10.54,120,779.9833333333333,5.612086796128866,765,790
P3,2025-09-01,18,120,29.428015666666667,0.09076049835548827,29.26633,29.63254,120,10.475833333333332,0.038796676053873394,10.4,10.58,120,732.2416666666667,18.245752738574538,708,772
P3,2025-09-01,19,120,29.228808333333333,0.0758682740607967,29.08391,29.37023,120,10.491416666666668,0.044121601129995996,10.41,10.57,120,689.8916666666667,19.13586795985547,660,718
P3,2025-09-01,20,117,29.029157948717952,0.032261005968518185,28.97668,29.16203,117,10.712649572649573,0.08814558062340112,10.53,10.88,117,638.5213675213676,12.12051430753995,615,666
P3,2025-09-01,21,120,29.277957416666666,0.32099918322495813,28.92941,29.90227,120,10.881,0.2551071615332388,10.6,11.5,120,589.3,17.50658939567907,559,621
P3,2025-09-01,22,120,30.30200025,0.21059622362269464,29.87844,30.63488,120,12.283916666666666,0.4769692410027559,11.49,13.08,120,544.95,8.374481045002744,530,563
P3,2025-09-01,23,120,30.809003833333335,0.08371086958109583,30.60949,30.9343,120,13.653416666666667,0.2996426326191125,13.08,14.15,120,526.7416666666667,3.5420542710952567,518,536
P3,2025-09-02,0,120,31.05286275,0.07482684276552258,30.85559,31.1966,120,14.517333333333333,0.18934532648329389,14.12,14.85,120,515.95,3.167189990666144,509,523
P3,2025-09-02,1,120,31.22847975,0.04214938723723699,31.1257,31.31437,120,15.07575,0.09226981352205463,14.83,15.31,120,507.9166666666667,2.4651634453570788,501,514
P3,2025-09-02,2,120,31.360413833333332,0.04105153940722741,31.26613,31.45656,120,15.463916666666668,0.10207342746198736,15.24,15.67,120,502.65,2.591680289443327,496,508
P3,2025-09-02,3,120,31.449474416666664,0.03396263772149232,31.37668,31.52766,120,15.837583333333333,0.09371865489063459,15.64,15.99,120,499.5083333333333,1.883121998008539,495,504
P3,2025-09-02,4,120,31.526719,0.03799314894897839,31.44855,31.62766,120,15.979083333333334,0.04260421396551134,15.89,16.09,120,498.3,1.7566201313073628,493,502
P3,2025-09-02,5,120,31.614987583333335,0.030235216652832516,31.54309,31.68879,120,16.188416666666665,0.060875901226510896,16.04,16.3,120,497.48333333333335,2.153688777456035,493,504
