device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-17,15,119,22.50563025210084,0.04613243014358393,22.43,22.6,119,64.90747899159663,0.5486612651508637,64.18,66.2,119,1011.3978991596639,0.11089676027715621,1011.24,1011.55,119,182314.0588235294,5068.8213976147645,170918,188996,0,,,,
P1,2025-09-17,16,119,22.543613445378153,0.08690274217394349,22.31,22.65,119,64.17453781512606,0.2437932852454737,63.35,64.62,119,1011.2110924369747,0.10286398717513294,1011.02,1011.42,119,170738.65546218486,5774.082249238023,158019,181670,0,,,,
P1,2025-09-17,17,119,22.440588235294115,0.06526730068253933,22.25,22.54,119,65.22109243697479,0.4489475261246993,64.09,65.99,119,1011.2738655462184,0.33402554769769316,1010.91,1012.0,119,182135.51260504202,2150.6002822450105,174843,185698,0,,,,
P1,2025-09-17,18,119,22.574201680672267,0.0644598915936835,22.47,22.7,119,66.14294117647059,0.43743929930705333,65.3,66.9,119,1012.1909243697479,0.3612478176501342,1011.7,1012.78,119,180351.58823529413,7147.6284231047575,167333,189213,0,,,,
P1,2025-09-17,19,120,22.59675,0.0771897422104863,22.49,22.74,120,67.19616666666667,0.19506165081596272,66.69,67.68,120,1013.37275,0.4245807868212394,1012.81,1014.23,120,191044.33333333334,4444.470539372453,184675,197971,0,,,,
P1,2025-09-17,20,119,22.38109243697479,0.049468187277132626,22.32,22.51,119,66.99949579831933,0.1652212114439641,66.51,67.39,119,1014.3475630252101,0.10515498155921879,1014.22,1014.56,119,195915.56302521008,1249.9114249204636,192983,198808,0,,,,
P1,2025-09-17,21,119,24.665294117647058,1.550140957794774,22.26,26.5,119,69.09596638655462,1.9775979777428103,66.03,72.62,119,1014.8295798319327,0.2719870228647086,1014.51,1015.18,119,165233.63025210085,23473.939320766054,136735,199651,0,,,,
P1,2025-09-17,22,119,27.19966386554622,0.34167814365675075,26.52,27.72,119,70.91655462184873,0.5740835540894048,69.56,71.99,119,1015.018319327731,0.08673278003010955,1014.87,1015.18,119,131924.87394957984,1461.9689217094538,129946,136512,0,,,,
P1,2025-09-17,23,120,28.06325,0.17713007374584688,27.73,28.34,120,70.182,0.4538159401817271,69.04,71.51,120,1014.9711666666666,0.07093828935310602,1014.85,1015.08,120,130680.18333333333,841.4925913116911,128550,133466,0,,,,
P1,2025-09-18,0,119,28.519579831932774,0.08757945504359685,28.34,28.65,119,70.32865546218488,0.31712673072221204,69.56,71.02,119,1015.1728571428571,0.11192569309526565,1014.96,1015.32,119,130660.63865546219,1356.6982523702934,127863,133679,0,,,,
P1,2025-09-18,1,119,28.782100840336135,0.08479160845092229,28.64,28.94,119,69.69075630252101,0.31304453482887035,69.18,70.45,119,1014.4625210084033,0.30069754635741064,1013.83,1014.94,119,133224.65546218486,711.8600895311955,131476,134863,0,,,,
P1,2025-09-18,2,119,29.028151260504202,0.06088286038841608,28.93,29.12,119,69.07714285714286,0.24038508251024904,68.43,69.56,119,1013.6058823529412,0.1826565349794497,1013.29,1013.95,119,135233.00840336134,1170.8853777058575,131682,136623,0,,,,
P1,2025-09-18,3,120,29.163666666666664,0.027590442058749727,29.1,29.2,120,68.20758333333333,0.2880096748880754,67.56,68.86,120,1014.4470833333332,0.20985948013026912,1013.96,1014.65,120,137131.65833333333,981.1197641096466,134538,139467,0,,,,
P1,2025-09-18,4,119,29.18294117647059,0.030038194363812668,29.13,29.26,119,67.22394957983192,0.32379429148608674,66.62,67.97,119,1014.66,0.1312714873451366,1014.42,1014.83,119,138864.84033613445,838.2683420447809,137070,140638,0,,,,
P1,2025-09-18,5,119,29.295462184873948,0.041430928821138885,29.23,29.38,119,66.19294117647058,0.4091047541893171,65.34,67.1,119,1015.2839495798319,0.2505357597782633,1014.8,1015.6,119,140974.57142857142,1084.5033118502558,138430,142918,0,,,,
P1,2025-09-18,6,119,29.36285714285714,0.033852693284506935,29.31,29.42,119,65.06705882352941,0.4765098269233524,63.74,66.11,119,1015.8613445378152,0.13776622528808563,1015.59,1016.11,119,144326.63025210085,1572.3363155656825,141350,149021,0,,,,
P1,2025-09-18,7,120,29.4065,0.03772189253564276,29.35,29.48,120,64.27325,0.3008396163903867,63.53,65.06,120,1016.2973333333334,0.14201865975934932,1016.07,1016.59,120,148645.94166666668,943.072978951,146544,151037,0,,,,
P1,2025-09-18,8,119,28.947899159663866,1.1889026944471546,25.49,29.58,119,64.05252100840336,0.9416998860583816,61.91,67.17,119,1016.9457142857142,0.1596530742460434,1016.59,1017.19,119,154492.73109243697,8339.048335836307,148230,185493,0,,,,
