device_id,date,is_daytime,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-22,0,718,28.204707520891365,0.25625423377633244,23.66,28.39,718,56.758760445682455,1.039002845638537,55.31,63.36,718,1015.7671169916435,0.45036933885896707,1014.22,1016.77,718,190795.0668523677,7224.937474674663,177061,210902,0,,,,
P1,2025-09-22,1,1431,24.73637316561845,1.7980709314807433,23.17,28.41,1431,60.772969951083155,2.826429099224439,53.1,66.95,1431,1014.9981201956674,1.0824504844459835,1013.47,1016.45,1431,203991.2928022362,12408.637058370838,175209,223800,0,,,,
P2,2025-09-15,0,180,30.753158587777776,0.3744323598189823,29.981758,31.782342,180,55.859318234444444,3.0935555134136457,49.877328,60.7897,180,1013.5725293333334,0.09520945991669862,1013.40784,1013.7986,180,6455.283333333334,151.70768256657507,6127,6757,0,,,,
P2,2025-09-16,0,1440,30.59221132722222,0.9394201925142981,28.5575384,32.44758,1440,54.49245328361111,3.0294962953860307,44.233656,60.53951,1440,1011.4372042222221,1.0766812908092647,1009.651,1013.46408,1440,6830.64375,293.6729592244972,5779,7658,0,,,,
P2,2025-09-16,1,1440,30.042626186944446,0.9336457324987323,28.393282,32.37512,1440,52.517368714166665,2.9750710246652274,44.104928,58.050404,1440,1011.3198576666667,1.4209884372374766,1009.3798,1013.4027,1440,6707.25625,489.13233616473065,5080,7807,0,,,,
P2,2025-09-17,0,1440,30.23124991388889,0.9657313942266931,28.120624,32.268084,1440,54.96817993111111,2.8280227062255636,45.49009,61.363464,1440,1012.0495006944444,1.8179193440251835,1010.0,1014.7424,1440,6989.482638888889,229.3155534365936,5779,7569,0,,,,
P2,2025-09-17,1,1440,29.785107067916666,1.0370754171970533,28.20617,32.321016,1440,52.73065719402777,3.0534189170796155,43.397064,60.2349,1440,1010.7087487361111,0.5874034080997762,1008.9183,1011.7534,1440,6999.007638888889,348.21904366914174,6247,7783,0,,,,
P2,2025-09-18,0,1440,29.564167001250002,1.0268639074040689,27.58039,31.589766,1440,52.96131336083334,3.587903258688123,42.102208,60.288476,1440,1015.2617392500001,1.2276434639789016,1012.78312,1016.78824,1440,7450.679861111111,278.3254370947123,6895,8251,0,,,,
P2,2025-09-18,1,1440,29.194270457361114,0.9230320872571688,27.400898,31.453828,1440,50.97194037819445,2.902934450194077,43.766136,58.47557,1440,1015.8028586111111,0.6248253773307579,1014.69108,1017.0147,1440,7244.325,599.6856519027164,5212,8186,0,,,,
P2,2025-09-19,0,1440,29.18785379736111,0.5294453608037316,27.524142,30.72004,1440,53.830462238749995,3.575094153875122,43.70066,61.362204,1440,1012.8780142916668,2.2233996052049703,1010.1149,1015.77348,1440,7164.485416666666,415.38766415415336,6236,8022,0,,,,
P2,2025-09-19,1,1440,28.76545441847222,0.6409098725406261,27.46125,30.682539,1440,52.906493104861106,2.970074381572341,45.219624,59.671368,1440,1012.9689773611111,1.7435823457236521,1010.54584,1015.33152,1440,7197.49375,457.75855082932543,5798,8129,0,,,,
P2,2025-09-20,0,1440,29.10660677513889,1.1532136492943637,27.203828,31.212812,1440,52.592869193333335,3.048832002401792,45.221368,59.075424,1440,1012.7670641249999,2.3155995777065,1009.91768,1015.6075,1440,7181.777083333333,484.82598372899764,6440,8060,0,,,,
P2,2025-09-20,1,1440,28.891566215138887,0.5726334702207734,27.445234,30.787422,1440,51.822141806388885,2.7379860516318644,41.14792,57.213652,1440,1013.1136482916668,0.5063621083948218,1011.76384,1013.9224,1440,7303.164583333333,237.9539405588478,6636,7760,0,,,,
P2,2025-09-21,0,1440,27.912644391388888,0.42495338503001356,26.808516,29.175118,1440,50.68874200180555,2.4353792687080973,42.92975,55.285576,1440,1015.6220357777777,0.584539777728451,1014.68024,1016.5956,1440,7569.715277777777,151.5716305338459,7249,8066,0,,,,
P2,2025-09-21,1,1440,27.615190616805556,0.3231356489800976,26.5659376,28.809298,1440,49.70711840861111,2.4971897344216307,42.929196,54.69209,1440,1015.469434638889,0.7779221607678976,1014.26984,1016.61616,1440,7657.252777777778,160.07338481453706,7294,8264,0,,,,
P2,2025-09-22,0,722,28.705476598614958,0.3448970751845581,27.78957,29.835274,722,51.119567059279774,2.701949013291797,44.22097,56.547072,722,1015.432090831025,0.43352935316823843,1013.8375,1016.4498,722,7277.423822714682,203.82649576251163,6705,7801,0,,,,
P2,2025-09-22,1,1440,28.29734760375,0.6253812029002197,27.04172,30.088204,1440,52.22598938680556,3.0788131971324657,42.893216,57.395156,1440,1014.6540043472222,1.0997299282916366,1013.1177,1016.2136,1440,7314.115277777778,462.41421108744953,4903,8270,0,,,,
