timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2
2025-07-02 22:56:35,P2,25.32258,53.79575,1003.167,114962,747
2025-07-02 22:57:05,P2,25.33117,54.16385,1003.15,115279,749
2025-07-02 22:57:35,P2,25.32629,54.4358,1003.153,114883,746
2025-07-02 22:58:05,P2,25.32063,54.43575,1003.135,114569,748
2025-07-02 22:58:36,P2,25.32512,54.58195,1003.121,114883,748
2025-07-02 22:59:06,P2,25.3177,54.86718,1003.13,115041,744
2025-07-02 22:59:36,P2,25.31652,54.98202,1003.118,115041,742
2025-07-02 23:00:06,P2,25.31262,55.04441,1003.099,115438,748
2025-07-02 23:00:37,P2,25.29523,55.34832,1003.118,114648,745
2025-07-02 23:01:07,P2,25.27883,55.45407,1003.078,116400,744
2025-07-02 23:01:37,P2,25.25676,55.31728,1003.063,116158,747
2025-07-02 23:02:07,P2,25.24387,55.22041,1003.085,116078,747
2025-07-02 23:02:37,P2,25.25266,55.26712,1003.078,116400,751
2025-07-02 23:03:07,P2,25.25754,55.08739,1003.072,117875,757
2025-07-02 23:03:38,P2,25.23918,55.11101,1003.052,116643,750
2025-07-02 23:04:08,P2,25.23879,55.46924,1003.065,117297,748
2025-07-02 23:04:38,P2,25.26867,55.99285,1003.06,115997,742
2025-07-02 23:05:08,P2,25.35051,57.4855,1003.069,115677,737
2025-07-02 23:05:38,P2,25.47707,58.48119,1003.035,114179,733
2025-07-02 23:06:09,P2,25.60813,59.60587,1003.048,113176,732
2025-07-02 23:06:39,P2,25.73332,60.23883,1003.083,113329,728
2025-07-02 23:07:09,P2,25.85422,60.57092,1003.05,112492,726
2025-07-02 23:07:39,P2,25.96496,61.11216,1003.074,112265,727
2025-07-02 23:08:09,P2,26.06926,61.49007,1003.081,112190,722
2025-07-02 23:08:40,P2,26.17277,62.03354,1003.106,111741,720
2025-07-02 23:09:10,P2,26.27024,62.94859,1003.092,112115,716
2025-07-02 23:09:40,P2,26.34406,63.20373,1003.079,111592,717
2025-07-02 23:10:10,P2,26.39445,63.12585,1003.072,111816,724
2025-07-02 23:10:40,P2,26.47551,64.49442,1003.048,110343,721
2025-07-02 23:11:11,P2,26.59914,63.9995,1003.079,110634,724
2025-07-02 23:11:41,P2,26.7341,63.58127,1003.094,110854,716
2025-07-02 23:12:11,P2,26.85207,64.09715,1003.078,110561,726
2025-07-02 23:12:41,P2,26.93039,64.32987,1003.058,110707,723
2025-07-02 23:13:11,P2,27.0091,64.47642,1003.064,110343,709
2025-07-02 23:13:42,P2,27.08137,64.6143,1003.114,110707,719
2025-07-02 23:14:12,P2,27.13117,65.22346,1003.097,110488,715
2025-07-02 23:14:42,P2,27.15793,65.29613,1003.057,110125,716
2025-07-02 23:15:12,P2,27.2007,65.73991,1003.076,110707,711
2025-07-02 23:15:42,P2,27.24895,65.62708,1003.09,111001,719
2025-07-02 23:16:12,P2,27.27805,65.9993,1003.086,110927,715
2025-07-02 23:16:43,P2,27.27394,66.01306,1003.089,111222,724
2025-07-02 23:17:13,P2,27.28547,66.4264,1003.064,111074,712
2025-07-02 23:17:43,P2,27.30031,66.59837,1003.052,111518,720
2025-07-02 23:18:13,P2,27.31652,66.99883,1003.043,111222,701
2025-07-02 23:18:43,P2,27.34094,66.70161,1003.036,111965,719
2025-07-02 23:19:14,P2,27.39953,66.9937,1003.032,111370,729
2025-07-02 23:19:44,P2,27.4216,67.26026,1003.043,111518,726
2025-07-02 23:20:14,P2,27.4257,67.39031,1003.049,111667,720
2025-07-02 23:20:44,P2,27.44211,67.50155,1003.039,111816,713
2025-07-02 23:21:15,P2,27.46535,67.64185,1003.03,112040,719
2025-07-02 23:21:45,P2,27.48937,67.88233,1002.994,112265,720
2025-07-02 23:22:15,P2,27.50754,67.69025,1003.013,112341,722
2025-07-02 23:22:45,P2,27.53469,67.92361,1003.05,112719,716
2025-07-02 23:23:15,P2,27.53547,68.033,1003.039,112643,711
2025-07-02 23:23:45,P2,27.52648,68.51991,1003.038,112871,716
2025-07-02 23:24:16,P2,27.49172,68.70548,1003.04,113559,718
2025-07-02 23:24:46,P2,27.49836,68.56821,1003.028,113482,723
2025-07-02 23:25:16,P2,27.57121,68.23918,1003.05,113252,715
2025-07-02 23:25:46,P2,27.63117,68.38413,1003.054,113714,717
2025-07-02 23:26:16,P2,27.67063,68.4587,1003.038,113636,720
2025-07-02 23:26:47,P2,27.69309,68.59727,1003.024,113559,717
2025-07-02 23:27:17,P2,27.70226,68.52486,1003.058,114023,718
